top - 13:08:13 up 2 days,  3:34,  1 user,  load average: 0.71, 1.30, 1.15
Tasks: 394 total,   1 running, 393 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.0 us,  3.5 sy,  0.0 ni, 86.4 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st
MiB Mem :  15767.8 total,    783.3 free,   5477.5 used,   9507.0 buff/cache
MiB Swap:  32768.0 total,  32765.5 free,      2.5 used.   8708.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4095 abhishe+  20   0   25732   4216   3772 S   0.0   0.0   0:01.72 dbus-da+
   4103 abhishe+  20   0   90064   4300   3880 S   0.0   0.0   0:00.00 gnome-s+
   4109 abhishe+  20   0  418960  15540  12960 S   0.0   0.1   0:00.83 gnome-s+
   4149 abhishe+  20   0  319408   8404   6876 S   0.0   0.1   0:00.63 ibus-da+
   4153 abhishe+  20   0  162704   7156   6524 S   0.0   0.0   0:00.00 ibus-me+
   4154 abhishe+  20   0  275704  31432  17876 S   0.0   0.2   0:01.36 ibus-ex+
   4156 abhishe+  20   0  197932  27924  18072 S   0.0   0.2   0:00.44 ibus-x11
   4159 abhishe+  20   0  238224   9428   6416 S   0.0   0.1   0:06.11 ibus-po+
   4170 abhishe+  20   0  162836   7372   6584 S   0.0   0.0   0:10.44 at-spi2+
   4174 abhishe+  20   0  235600   4596   4156 S   0.0   0.0   0:00.00 xdg-per+
   4176 abhishe+  20   0  589480  18096  15548 S   0.0   0.1   0:00.09 gnome-s+
   4185 abhishe+  20   0 1078692  25176  21380 S   0.0   0.2   0:00.12 evoluti+
   4195 abhishe+  20   0 1387856  30408  25948 S   0.0   0.2   0:00.35 evoluti+
   4209 abhishe+  20   0  156344   5668   4952 S   0.0   0.0   0:00.09 dconf-s+
   4210 abhishe+  20   0  763608  27808  24272 S   0.0   0.2   0:00.21 evoluti+
   4233 abhishe+  20   0 2930284  26620  21404 S   0.0   0.2   0:00.09 gjs
   4245 abhishe+  20   0  329876   9744   7472 S   0.0   0.1   0:00.28 gvfsd-t+
   4258 abhishe+  20   0  309656   6292   5696 S   0.0   0.0   0:00.14 gsd-a11+
   4259 abhishe+  20   0  430916  30240  19868 S   0.0   0.2   0:01.08 gsd-col+
   4260 abhishe+  20   0  373612  15900  13960 S   0.0   0.1   0:00.16 gsd-dat+
   4264 abhishe+  20   0  311720   7644   6864 S   0.0   0.0   0:02.85 gsd-hou+
   4266 abhishe+  20   0  354444  28436  18412 S   0.0   0.2   0:00.62 gsd-key+
   4268 abhishe+  20   0 1171828  31380  20816 S   0.0   0.2   0:01.22 gsd-med+
   4269 abhishe+  20   0  695388  31328  20404 S   0.0   0.2   0:01.37 gsd-pow+
   4271 abhishe+  20   0  256752  10692   9216 S   0.0   0.1   0:00.18 gsd-pri+
   4273 abhishe+  20   0  457104   6096   5472 S   0.0   0.0   0:00.24 gsd-rfk+
   4277 abhishe+  20   0  235512   5868   5344 S   0.0   0.0   0:00.15 gsd-scr+
   4278 abhishe+  20   0  464916  10320   8560 S   0.0   0.1   0:06.62 gsd-sha+
